,Movies_name,Release_year,Screen_time,Ratting,Genres,About
35,Bhaag Milkha Bhaag,(2013),186 min,8.2,"Biography, Drama, Sport","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
36,Shahid,(2012),129 min,8.2,"Biography, Drama","The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice."
37,Paan Singh Tomar,(2012),135 min,8.2,"Action, Biography, Crime","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
38,Theeran Adhigaaram Ondru,(2017),157 min,8.2,"Action, Crime, Thriller","Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern."
39,PK,(2014),153 min,8.1,"Comedy, Drama, Sci-Fi",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
40,Bajrangi Bhaijaan,(2015),163 min,8.1,"Action, Adventure, Comedy",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
41,OMG: Oh My God!,(2012),125 min,8.1,"Comedy, Drama, Fantasy",A shopkeeper takes God to court when his shop is destroyed by an earthquake.
42,Munna Bhai M.B.B.S.,(2003),156 min,8.1,"Comedy, Drama",A gangster sets out to fulfill his father's dream of becoming a doctor.
43,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,"Drama, Musical, Sport",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
44,Barfi!,(2012),151 min,8.1,"Comedy, Drama, Romance",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
45,A Wednesday,(2008),104 min,8.1,"Action, Crime, Drama",A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
46,Dil Chahta Hai,(2001),183 min,8.1,"Comedy, Drama, Romance","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
47,Masaan,(2015),109 min,8.1,Drama,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
48,Article 15,(2019),130 min,8.1,"Crime, Drama, Mystery","In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
49,Rang De Basanti,(2006),167 min,8.1,"Comedy, Crime, Drama","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
